Champions League
"2020,05,30"
"2020,05,30"
Liverpool
Chelsea
Barcelona
Atlético Madrid
Real Madrid
Valencia
Manchester City
Tottenham Hotspur
Juventus
Napoli
Atalanta
Inter Milan
Bayern Munich
Borussia Dortmund
RB Leipzig
Bayer Leverkusen
Paris Saint-Germain
Lille
Lyon
Zenit Saint Petersburg
Lokomotiv Moscow
Benfica
Shakhtar Donetsk
Genk
Galatasaray
Red Bull Salzburg
