Drivers Championship
Sebastian Vettel
Romain Grosjean
Lando Norris
Lewis Hamilton
Sergio Pérez
Pierre Gasly
Daniel Ricciardo
Kimi Räikkönen
Alexander Albon
George Russell
Charles Leclerc
Kevin Magnussen
Carlos Sainz Jr.
Valtteri Bottas
Lance Stroll
Max Verstappen
Nico Hülkenberg
Antonio Giovinazzi
Daniil Kvyat
Robert Kubica
