Champions Cup
Bath
Exeter Chiefs
Gloucester
Harlequins
Northampton Saints
Sale Sharks
Saracens
Clermont
Lyon
Montpellier
Racing
La Rochelle
Toulouse
Connacht
Leinster
Munster
Ulster
Benetton
Glasgow Warriors
Ospreys
