WSL Winner
"2020,05,16"
"2020,05,16"
Arsenal
Birmingham City
Brighton & Hove Albion
Bristol City
Chelsea
Everton
Liverpool
Manchester City
Manchester United
Reading
Tottenham Hotspur
West Ham United
